CueName,Category,PlaybackType,Volume,VolumeRandom,Pitch,PitchRandom,MaxVoices,LimitBehavior,Priority,SpatialBlend,IsLooping,LoopBegin,LoopEnd,Delay,AttackTime,DecayTime,SustainLevel,ReleaseTime,MinDistance,MaxDistance,NoRepeatHistoryCount
Weapon_Blaster_Shot,SE,Random,0.80,0.05,1.00,0.05,10,StopOldest,128,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,30.00,0
Weapon_Launcher_Charge_BuildUp,SE,Single,0.80,0.00,1.00,0.00,1,Prevent,128,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,30.00,0
Weapon_Launcher_Charge_Loop,SE,Single,0.80,0.00,1.00,0.00,1,Prevent,128,1.00,True,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,30.00,0
Weapon_Launcher_Release,SE,Single,0.80,0.00,1.00,0.00,5,StopOldest,128,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,30.00,0
Weapon_Launcher_Explosion,SE,Random,0.90,0.05,1.00,0.05,5,StopOldest,150,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.10,2.00,50.00,0
Weapon_Shotgun_Shot,SE,Random,0.85,0.05,0.90,0.05,5,StopOldest,128,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,30.00,0
Weapon_Cooling,SE,Single,0.50,0.00,1.00,0.00,1,StopOldest,100,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.10,1.00,20.00,0
Footstep_Dirt,SE,Random,0.50,0.05,1.00,0.05,2,StopOldest,80,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,0.50,15.00,0
Player_Jump,SE,Single,0.60,0.00,1.00,0.00,1,StopOldest,80,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,15.00,0
Player_Land,SE,Single,0.60,0.00,1.00,0.00,1,StopOldest,80,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,15.00,0
Player_Land_Damage,SE,Single,0.70,0.00,1.00,0.00,1,StopOldest,90,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,20.00,0
Player_Jetpack_Use,SE,Single,0.50,0.00,1.00,0.00,1,Prevent,90,1.00,True,0.00,0.00,0.00,0.10,0.00,1.00,0.15,1.00,20.00,0
Player_Damage_Tick,UI,Random,0.60,0.00,1.00,0.00,1,StopOldest,200,0.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,10.00,0
Player_Damage_Tick2,UI,Random,0.60,0.00,1.00,0.00,1,StopOldest,200,0.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,10.00,0
Enemy_Hoverbot_Alert,SE,Single,0.70,0.00,1.00,0.00,2,StopOldest,100,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,25.00,0
Enemy_Hoverbot_Attack,SE,Single,0.70,0.00,1.00,0.00,2,StopOldest,100,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,25.00,0
Enemy_Hoverbot_Movement,SE,Single,0.50,0.00,1.00,0.00,1,Prevent,70,1.00,True,0.00,0.00,0.00,0.20,0.00,1.00,0.20,1.00,20.00,0
Enemy_Hoverbot_Death,SE,Single,0.80,0.00,1.00,0.00,2,StopOldest,120,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,30.00,0
Enemy_Turret_Alert,SE,Single,0.70,0.00,1.00,0.00,2,StopOldest,100,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,25.00,0
Enemy_Turret_Attack,SE,Single,0.70,0.00,1.00,0.00,2,StopOldest,100,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,25.00,0
Enemy_Turret_Death,SE,Single,0.80,0.00,1.00,0.00,2,StopOldest,120,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,30.00,0
Pickup_Weapon_Small,SE,Single,0.75,0.00,1.00,0.00,5,StopOldest,100,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,20.00,0
Pickup_Weapon_Medium,SE,Single,0.75,0.00,1.00,0.00,5,StopOldest,100,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,20.00,0
Pickup_Jetpack,SE,Single,0.75,0.00,1.00,0.00,5,StopOldest,100,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,20.00,0
Pickup_Health,SE,Single,0.75,0.00,1.00,0.00,5,StopOldest,100,1.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,20.00,0
Notification_Chime,UI,Single,0.70,0.00,1.00,0.00,2,StopOldest,200,0.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,15.00,0
Notification_End,UI,Single,0.70,0.00,1.00,0.00,2,StopOldest,200,0.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,15.00,0
Notification_Snap,UI,Single,0.70,0.00,1.00,0.00,2,StopOldest,200,0.00,False,0.00,0.00,0.00,0.00,0.00,1.00,0.05,1.00,15.00,0
BGM_Main,BGM,Single,0.60,0.00,1.00,0.00,1,Prevent,255,0.00,True,0.00,0.00,0.00,1.50,0.00,1.00,1.50,1.00,50.00,0
